# source, executable, build_date-time, wall-clock, function, gnuc, elapsed, cores, itens
src/minas/minas.c,target/minas,Jul  6 2020 15:21:03,1594059664,readModel,10.1.0,1.100000e-03,1,100
src/minas/minas.c,target/minas,Jul  6 2020 15:21:03,1594059666,readExamples,10.1.0,2.020494e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:21:03,1594059673,MNS_minas_main,10.1.0,6.877042e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:23:22,1594059803,readModel,10.1.0,6.960000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 15:23:22,1594059805,readExamples,10.1.0,1.971264e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:23:22,1594059812,MNS_minas_main,10.1.0,6.887705e+00,1,653457
src/minas/minas.c,target/eval,Jul  6 2020 15:23:22,1594059816,readExamples,10.1.0,1.912052e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  6 2020 15:23:22,1594059817,main,10.1.0,7.336090e-01,1,653457
src/minas/minas.c,target/eval,Jul  6 2020 15:28:30,1594060115,readExamples,10.1.0,1.914200e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  6 2020 15:28:30,1594060116,main,10.1.0,7.358880e-01,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:40:39,1594060839,readModel,10.1.0,6.600000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 15:40:39,1594060841,readExamples,10.1.0,1.980156e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:40:39,1594060848,MNS_minas_main,10.1.0,6.831150e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:42:32,1594060953,readModel,10.1.0,7.440000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 15:42:32,1594060955,readExamples,10.1.0,1.945968e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:42:32,1594060962,MNS_minas_main,10.1.0,6.798758e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:45:17,1594061118,readModel,10.1.0,6.740000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 15:45:17,1594061120,readExamples,10.1.0,1.963525e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:45:17,1594061127,MNS_minas_main,10.1.0,6.787890e+00,1,653457
src/minas/minas.c,target/eval,Jul  6 2020 15:45:17,1594061131,readExamples,10.1.0,1.904915e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  6 2020 15:45:17,1594061132,main,10.1.0,7.272500e-01,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 16:43:51,1594064631,readModel,10.1.0,6.740000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 16:43:51,1594064633,readExamples,10.1.0,1.944010e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 16:43:51,1594064640,MNS_minas_main,10.1.0,6.885969e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 17:19:42,1594066782,readModel,10.1.0,6.680000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 17:19:42,1594066785,readExamples,10.1.0,2.122306e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 17:19:42,1594066819,MNS_minas_main,10.1.0,3.467186e+01,1,653457
